AccessionID	NumChromosomal	NumPlasmid	NumExtraChromosomal	Length_DNA	NumProteins	GC	SequenceType	Phylogroup	Serotype	Remarks
GCF_000750555.1	1	0	0	4631469	4163	50.78	ST10	A	O16:H48	GCF_000750555.1 has been dropped because has ANI=99.9948 to GCF_000005845.2
GCF_000784925.1	1	3	0	5559642	5067	50.41	ST648	F	O1:H6	Keep
GCF_000800215.1	1	0	0	4558663	4067	50.80	ST10	A	O16:H48	Keep
GCF_000800765.1	1	0	0	4558660	4066	50.80	ST10	A	O16:H48	GCF_000800765.1 has been dropped because has ANI=99.9995 to GCF_000800215.1
GCF_000801165.1	1	1	0	4995948	4548	50.71	ST2773	B1	O104:H7	Keep
GCF_000801185.2	1	1	0	5045911	4574	50.65	ST672	B1	O104:H21	GCF_000801185.2 has been dropped because has ANI=99.9997 to GCF_000464955.2
GCF_000801205.1	1	0	0	4636831	4146	50.79	ST10	A	O16:H48	GCF_000801205.1 has been dropped because has ANI=99.9961 to GCF_000005845.2
GCF_000803705.1	1	1	0	5583430	5051	50.47	ST11	E	O157:H7	Keep
GCF_000813165.1	1	2	0	5126057	4542	50.61	ST140*	B2	Unk:H5	Keep
GCF_000814145.2	1	2	0	5106503	4606	50.93	ST10	A	Unk:H9	Keep
GCF_000819645.1	1	3	0	5273074	4739	50.78	ST88	C	O78:H19	Keep
GCF_000827105.1	1	0	0	5104557	4554	50.60	ST1011	D	O157:H16	Keep
GCF_000829985.1	1	3	0	5156928	4638	50.61	ST10	A	O70:H32	Keep
GCF_000830035.1	1	0	0	4557511	4086	50.83	ST93	A	O7:H-	GCF_000830035.1 has been dropped because has ANI=99.997 to GCF_000022665.1
GCF_000831565.1	1	1	0	4903812	4449	50.73	ST847	B1	O-:H2	Keep
GCF_000833145.1	1	0	0	4528118	4046	50.80	ST93	A	O7:H-	GCF_000833145.1 has been dropped because has ANI=99.9919 to GCF_000022665.1
GCF_000833635.2	1	0	0	4502758	4026	50.78	ST10	A	O16:H48	Keep
GCF_000931565.1	1	6	0	5292269	4865	50.75	ST131	B2	O25:H4	Keep
GCF_000952955.1	1	0	0	4585620	4103	50.79	ST10	A	O16:H48	GCF_000952955.1 has been dropped because has ANI=99.9932 to GCF_000005845.2
GCF_000953515.1	1	0	0	4584860	4100	50.82	ST1060	A	O16:H48	Keep
GCF_000967155.2	1	3	0	5443340	4941	50.65	ST678	B1	O104:H4	GCF_000967155.2 has been dropped because has ANI=99.992 to GCF_002983645.1
GCF_000968515.1	1	9	0	5196066	4650	50.80	ST10	A	O12:H4	Keep
GCF_000971615.1	1	1	0	5092643	4685	50.66	ST5082	B1	O-:H14	Keep
GCF_000974405.1	1	0	0	4619729	4132	50.79	ST-Unknown	A	O16:H48	GCF_000974405.1 has been dropped because has ANI=99.9913 to GCF_000974575.1
GCF_000974465.1	1	0	0	4604543	4124	50.81	ST-Unknown	A	O16:H48	Keep
GCF_000974505.1	1	0	0	4621164	4110	50.79	ST-Unknown	A	O16:H48	Keep
GCF_000974535.1	1	0	0	4607634	4120	50.81	ST-Unknown	A	O16:H48	GCF_000974535.1 has been dropped because has ANI=99.9959 to GCF_000974575.1
GCF_000974575.1	1	0	0	4660432	4170	50.78	ST-Unknown	A	O16:H48	Keep
GCF_000974825.1	1	0	0	4606859	4120	50.81	ST-Unknown	A	O16:H48	GCF_000974825.1 has been dropped because has ANI=99.9975 to GCF_000974575.1
GCF_000974865.1	1	0	0	4609629	4120	50.80	ST-Unknown	A	O16:H48	GCF_000974865.1 has been dropped because has ANI=99.9943 to GCF_000974575.1
GCF_000974885.1	1	0	0	4682086	4198	50.77	ST-Unknown	A	O16:H48	Keep
GCF_000981485.1	1	0	0	4638126	4161	50.83	ST10	A	O16:H48	GCF_000981485.1 has been dropped because has ANI=99.9983 to GCF_900096845.1
GCF_000986765.1	1	7	0	5446006	4898	50.63	ST678	B1	O104:H4	GCF_000986765.1 has been dropped because has ANI=99.9956 to GCF_002983645.1
GCF_000987875.1	1	0	0	5153435	4636	50.76	ST48	A	O78:H11	GCF_000987875.1 has been dropped because has ANI=100 to GCF_000210475.1
GCF_000988355.1	1	0	0	4633461	4172	50.79	ST10	A	O16:H48	GCF_000988355.1 has been dropped because has ANI=99.9937 to GCF_000005845.2
GCF_000988385.1	1	0	0	4610881	4171	50.78	ST10	A	O16:H48	Keep
GCF_000988425.1	1	0	0	4605135	4171	50.78	ST10	A	O16:H48	GCF_000988425.1 has been dropped because has ANI=99.9963 to GCF_000988385.1
GCF_000988465.1	1	0	0	4605301	4171	50.78	ST10	A	O16:H48	GCF_000988465.1 has been dropped because has ANI=99.9989 to GCF_000988385.1
GCF_001007915.1	1	2	0	5288947	4707	50.53	ST99	B1	O96:H19	Keep
GCF_001020945.2	1	0	0	4622342	4153	50.81	ST10	A	O16:H48	Keep
GCF_001021005.2	1	0	0	4621656	4158	50.80	ST10	A	O16:H48	GCF_001021005.2 has been dropped because has ANI=99.9936 to GCF_001020945.2
GCF_001021595.1	1	0	0	5002781	4560	50.75	ST416	B2	Unk:H7	Keep
GCF_001021615.1	1	0	0	5006568	4592	50.70	ST95	B2	Unk:H7	Keep
GCF_001021635.2	1	3	0	5318341	4836	50.57	ST117	G	Unk:H4	Keep
GCF_001029125.1	1	6	0	4901825	4366	50.80	ST46	A	O9a:H4	Keep
GCF_001039415.1	1	0	0	4501450	4037	50.81	ST93	A	O7:H-	GCF_001039415.1 has been dropped because has ANI=99.9903 to GCF_000022665.1
GCF_001043215.1	1	1	0	4745591	4291	50.76	ST10	A	O16:H48	Keep
GCF_001051135.1	1	0	0	4936576	4437	50.67	ST23	C	O78:H9	Keep
GCF_001183645.1	1	0	0	4614223	4109	50.83	ST1060	A	O16:H48	GCF_001183645.1 has been dropped because has ANI=99.9968 to GCF_000270105.1
GCF_001183665.1	1	0	0	4612363	4108	50.83	ST1060	A	O16:H48	GCF_001183665.1 has been dropped because has ANI=99.9978 to GCF_000270105.1
GCF_001183685.1	1	0	0	4609522	4102	50.82	ST1060	A	O16:H48	GCF_001183685.1 has been dropped because has ANI=99.9937 to GCF_000270105.1
GCF_001276585.2	1	0	0	4587291	4114	50.82	ST10	A	O16:H48	Keep
GCF_001280325.1	1	3	0	5206997	4771	50.66	ST95	B2	O1:H7	Keep
GCF_001280345.1	1	5	0	5358643	5004	50.65	ST95	B2	O25:H4	Keep
GCF_001280385.1	1	1	0	5025183	4565	50.62	ST95	B2	O1:H7	Keep
GCF_001280405.1	1	1	0	5152806	4734	50.67	ST95	B2	Unk:H7	Keep
GCF_001307215.1	1	2	0	5428108	4898	50.48	ST11	E	O157:H7	Keep
GCF_001308065.1	1	0	0	4641665	4194	50.79	ST10	A	O16:H48	GCF_001308065.1 has been dropped because has ANI=99.9998 to GCF_000005845.2
GCF_001308125.1	1	0	0	4641684	4193	50.79	ST10	A	O16:H48	GCF_001308125.1 has been dropped because has ANI=99.9997 to GCF_000005845.2
GCF_001308165.1	1	0	0	4641689	4194	50.79	ST10	A	O16:H48	GCF_001308165.1 has been dropped because has ANI=99.9997 to GCF_000005845.2
GCF_001420935.1	1	2	0	5375210	4751	50.58	ST119	A	O165:H25	Keep
GCF_001420955.1	1	3	0	5514343	5029	50.79	ST117	G	O119:H4	Keep
GCF_001442495.1	1	0	0	4863501	4357	50.56	ST410	C	O-:H9	Keep
GCF_001469815.1	1	1	0	5250410	4792	50.83	ST131	B2	O25:H4	Keep
GCF_001485455.1	1	7	0	5195832	4640	50.57	ST648	F	O51:H4	Keep
GCF_001513615.1	1	1	0	5219043	4775	50.87	ST131	B2	O25:H4	Keep
GCF_001513635.1	1	2	0	5317099	4879	50.82	ST131	B2	O25:H4	Keep
GCF_001515725.1	1	0	0	4879931	4412	50.69	ST23	C	O78:H9	Keep
GCF_001544635.1	1	0	0	4659625	4193	50.78	ST10	A	O16:H48	GCF_001544635.1 has been dropped because has ANI=99.9968 to GCF_000005845.2
GCF_001558995.2	1	1	0	5574593	5046	50.45	ST11	E	O157:H7	GCF_001558995.2 has been dropped because has ANI=99.9902 to GCF_004010655.1
GCF_001559615.2	1	0	0	4478958	4027	50.81	ST93	A	O7:H-	GCF_001559615.2 has been dropped because has ANI=100 to GCF_013166895.1
GCF_001559635.1	1	0	0	4569185	4067	50.82	ST93	A	O7:H-	Keep
GCF_001559655.1	1	1	0	4779803	4210	50.73	ST10	A	O16:H48	Keep
GCF_001559675.1	1	1	0	4959179	4279	50.76	ST10	A	O16:H48	Keep
GCF_001566335.1	1	0	0	4657541	4183	50.75	ST10	A	O16:H48	Keep
GCF_001566615.1	1	1	0	5176044	4765	50.65	ST131	B2	O25:H4	Keep
GCF_001566635.1	1	3	0	5219972	4797	50.55	ST131	B2	O25:H4	Keep
GCF_001566675.1	1	1	0	5256378	4756	50.89	ST131	B2	O25:H4	Keep
GCF_001577325.1	1	2	0	5197049	4780	50.73	ST131	B2	O25:H4	Keep
GCF_001593565.1	1	5	0	5331521	4903	50.80	ST131	B2	O25:H4	Keep
GCF_001610755.1	1	6	0	5428586	4894	50.50	ST167	A	O101:H9	Keep
GCF_001612475.1	1	1	0	5643099	5013	50.55	ST11	E	O157:H7	Keep
GCF_001612495.1	1	1	0	5601971	5064	50.51	ST11	E	O157:H7	Keep
GCF_001617565.1	1	6	0	5418293	4980	50.88	ST131	B2	O25:H4	Keep
GCF_001618345.2	1	1	0	5040910	4604	50.76	ST131	B2	O153:H5	Keep
GCF_001618365.1	1	2	0	5212298	4723	50.78	ST131	B2	O16:H5	Keep
GCF_001644725.1	1	1	0	4989576	4554	50.87	ST1727	B1	O-:H7	Keep
GCF_001644745.1	1	1	0	5494966	4962	50.43	ST335	E	O55:H7	Keep
GCF_001645235.2	1	2	0	5518650	5112	50.70	ST17	B1	O153:H2	Keep
GCF_001650275.1	1	1	0	5750190	5160	50.43	ST11	E	O157:H7	GCF_001650275.1 has been dropped because has ANI=99.9952 to GCF_001650295.1
GCF_001650295.1	1	0	0	5831209	5043	50.52	ST-Unknown	E	O157:H7	Keep
GCF_001651925.2	1	1	0	5740825	5169	50.51	ST11	E	O157:H7	GCF_001651925.2 has been dropped because has ANI=99.9992 to GCF_001651965.2
GCF_001651945.2	1	1	0	5679908	5122	50.48	ST11	E	O157:H7	GCF_001651945.2 has been dropped because has ANI=99.9983 to GCF_001651965.2
GCF_001651965.2	1	2	0	5775520	5205	50.44	ST11	E	O157:H7	Keep
GCF_001660565.1	1	2	0	5186163	4748	50.67	ST7060	B1	O102:H30	Keep
GCF_001660585.1	1	2	0	5074819	4605	50.58	ST998	B2	Unk:H6	Keep
GCF_001663075.1	1	0	0	4595577	4123	50.83	ST10	A	O16:H48	Keep
GCF_001663475.1	1	2	0	5312456	4861	50.75	ST131	B2	O16:H5	Keep
GCF_001675145.1	1	2	0	5331884	4826	50.52	ST127	B2	O6:H31	Keep
GCF_001677475.2	1	2	0	5848780	5185	50.40	ST1176	D	O36:H14	Keep
GCF_001677495.1	1	1	0	5511850	5107	50.50	ST718	B1	O168:H8	Keep
GCF_001677515.1	1	1	0	5456185	4909	50.61	ST329	A	O136:H16	Keep
GCF_001678925.1	1	0	0	4731493	4294	50.76	ST93	A	O7:H4	Keep
GCF_001678965.1	1	1	0	5457411	5031	50.57	ST718	B1	O168:H8	Keep
GCF_001679985.1	1	5	0	5424193	4957	50.59	ST7051	B1	O160:H40	Keep
GCF_001682305.2	1	0	0	4617703	4080	50.80	ST744	A	O101:H10	Keep
GCF_001683435.1	1	0	0	5154641	4615	50.37	ST127	B2	O6:H31	Keep
GCF_001693315.1	1	1	0	5329753	4794	50.56	ST73	B2	O6:H1	Keep
GCF_001693635.1	1	5	0	5494878	4866	50.41	ST359	B1	O177:H21	Keep
GCF_001695515.1	1	1	0	5866200	5262	50.55	ST11	E	O157:H7	Keep
GCF_001721125.1	1	0	0	5704396	5229	50.62	ST21	B1	O26:H11	Keep
GCF_001721225.1	1	3	0	5376466	4779	50.38	ST5309*	A	O145:H25	Keep
GCF_001721525.1	1	4	0	5599783	5152	50.50	ST648	F	O1:H6	Keep
GCF_001723505.1	1	0	0	4583637	4124	50.77	ST1060	A	O16:H48	GCF_001723505.1 has been dropped because has ANI=99.9978 to GCF_013167075.1
GCF_001735705.1	1	1	0	4731950	4278	50.76	ST215*	A	O-:H32	Keep
GCF_001750845.1	1	4	0	5100852	4542	50.56	ST4	A	O6:H16	Keep
GCF_001753445.1	1	1	0	5509007	4889	50.47	ST11	E	O157:H7	GCF_001753445.1 has been dropped because has ANI=99.9907 to GCF_001753505.1
GCF_001753465.1	1	1	0	5500773	4888	50.47	ST11	E	O157:H7	GCF_001753465.1 has been dropped because has ANI=99.9912 to GCF_013167375.1
GCF_001753485.1	1	1	0	5530258	4989	50.47	ST11	E	O157:H7	Keep
GCF_001753505.1	1	1	0	5509229	4890	50.47	ST11	E	O157:H7	Keep
GCF_001753525.1	1	1	0	5503176	4890	50.47	ST11	E	O157:H7	GCF_001753525.1 has been dropped because has ANI=99.992 to GCF_013167375.1
GCF_001753545.1	1	1	0	5531320	4978	50.47	ST11	E	O157:H7	GCF_001753545.1 has been dropped because has ANI=100 to GCF_005222345.1
GCF_001753565.1	1	1	0	5497141	4884	50.47	ST11	E	O157:H7	GCF_001753565.1 has been dropped because has ANI=99.9934 to GCF_013167375.1
GCF_001806265.1	1	1	0	5559797	5001	50.43	ST11	E	O157:H7	GCF_001806265.1 has been dropped because has ANI=99.9983 to GCF_013168095.1
GCF_001806285.1	1	1	0	5559461	5001	50.43	ST11	E	O157:H7	GCF_001806285.1 has been dropped because has ANI=99.9967 to GCF_013168095.1
GCF_001860505.1	1	0	0	4839266	4297	50.81	ST167	A	O101:H17	Keep
GCF_001865295.1	1	1	0	5618601	5086	50.51	ST11	E	O157:H7	Keep
GCF_001874485.1	1	1	2	5483091	5003	50.79	ST131	B2	O25:H4	Keep
GCF_001886535.1	1	5	0	5200916	4602	50.75	ST617	A	O101:H9	Keep
GCF_001886555.1	1	5	0	5116498	4600	50.76	ST617	A	O101:H9	GCF_001886555.1 has been dropped because has ANI=99.9963 to GCF_001886535.1
GCF_001886575.1	1	5	0	5114354	4601	50.76	ST617	A	O101:H9	GCF_001886575.1 has been dropped because has ANI=99.9986 to GCF_001886535.1
GCF_001886755.1	1	5	0	5116627	4600	50.76	ST617	A	O101:H9	GCF_001886755.1 has been dropped because has ANI=99.9978 to GCF_001886535.1
GCF_001886895.1	1	1	0	5267283	4807	50.66	ST678	B1	O104:H4	GCF_001886895.1 has been dropped because has ANI=99.9993 to GCF_002214745.2
GCF_001886935.1	1	0	0	4867152	4388	50.75	ST679	B1	O163:H19	Keep
GCF_001888075.1	1	4	0	5022828	4438	50.52	ST4	A	O6:H16	Keep
GCF_001890205.1	1	1	0	5604428	5004	50.50	ST11	E	O157:H7	Keep
GCF_001890225.1	1	1	0	5568363	5025	50.44	ST11	E	O157:H7	Keep
GCF_001890245.1	1	1	0	5608872	5020	50.46	ST11	E	O157:H7	Keep
GCF_001890265.1	1	1	0	5504345	4934	50.49	ST11	E	O157:H7	Keep
GCF_001890285.2	1	1	0	5611725	5044	50.49	ST11	E	O157:H7	GCF_001890285.2 has been dropped because has ANI=99.9996 to GCF_017165115.1
GCF_001890305.1	1	1	0	5462063	4941	50.46	ST11	E	O157:H7	Keep
GCF_001890325.1	1	1	0	5567385	4979	50.49	ST11	E	O157:H7	Keep
GCF_001890345.1	1	1	0	5520540	4977	50.49	ST11	E	O157:H7	Keep
GCF_001890365.1	1	2	0	5158613	4673	50.62	ST38	D	O153:H9	Keep
GCF_001900295.1	1	0	0	4843023	4368	50.54	ST38	D	O153:H9	Keep
GCF_001900315.1	1	0	0	4990476	4543	50.57	ST7063	D	Unk:H41	Keep
GCF_001900335.1	1	0	0	5021692	4526	50.81	ST109	B1	Unk:H8	GCF_001900335.1 has been dropped because has ANI=99.9943 to GCF_001900355.1
GCF_001900355.1	1	0	0	5414571	4524	50.83	ST109	B1	Unk:H8	Keep
GCF_001900375.1	1	0	0	4827779	4410	50.93	ST224	B1	O8:H23	Keep
GCF_001900395.1	1	0	0	5130646	4589	50.39	ST12	B2	O4:H5	Keep
GCF_001900415.1	1	0	0	4833228	4388	50.75	ST197	A	Unk:H30	Keep
GCF_001900435.1	1	0	0	4832567	4391	50.75	ST197	A	Unk:H30	GCF_001900435.1 has been dropped because has ANI=99.996 to GCF_001900415.1
GCF_001900455.1	1	0	0	4807161	4323	50.77	ST10	A	O107:H27	Keep
GCF_001900475.1	1	0	0	4805164	4382	50.76	ST297	B1	O54:H8	Keep
GCF_001900495.1	1	1	0	4818237	4414	50.73	ST2522	B1	O178:H8	Keep
GCF_001900515.1	1	1	0	5413266	4966	50.61	ST20	B1	O15:H2	Keep
GCF_001900535.1	1	2	0	5633965	5123	50.45	ST295	B1	O10:H16	Keep
GCF_001900555.1	1	3	0	5096119	4644	50.66	ST1426	C	O8:H10	Keep
GCF_001900575.1	1	2	0	4677457	4147	50.86	ST7064	A	O-:H32	Keep
GCF_001900595.1	1	2	0	5207335	4481	50.67	ST-Unknown	B1	O103:H4	Keep
GCF_001900615.1	1	2	0	4876911	4427	50.66	ST373	A	O75:H52	Keep
GCF_001900635.1	1	2	0	5236169	4807	50.69	ST90	C	O8:H9	Keep
GCF_001900655.1	1	1	0	4935464	4377	50.67	ST-Unknown	A	O116:H38	Keep
GCF_001900675.1	1	2	0	5019088	4469	50.83	ST58	B1	Unk:H25	Keep
GCF_001900695.1	1	1	0	4910852	4464	50.92	ST1196	B1	O91:H28	Keep
GCF_001900715.1	1	4	0	4874277	4378	50.68	ST-Unknown	A	O116:H38	GCF_001900715.1 has been dropped because has ANI=99.9907 to GCF_001900655.1
GCF_001900735.1	1	2	0	5247683	4571	50.73	ST117	G	O143:H4	Keep
GCF_001900775.1	1	2	0	4826576	4306	50.89	ST193	A	O156:H11	Keep
GCF_001900795.1	1	3	0	4577859	4011	50.80	ST46	A	O-:H4	Keep
GCF_001900815.1	1	1	0	4679162	4256	50.81	ST101	B1	O28ab:H25	Keep
GCF_001900835.1	1	3	0	5137208	4623	50.67	ST617	A	O101:H17	Keep
GCF_001900885.1	1	0	0	4735489	4319	50.76	ST1706	B1	O116:H8	Keep
GCF_001900905.1	1	0	0	4632368	4236	50.66	ST3519	A	O116:H48	Keep
GCF_001900925.1	1	0	0	4733615	4318	50.76	ST1706	B1	O116:H8	GCF_001900925.1 has been dropped because has ANI=99.9986 to GCF_001900885.1
GCF_001900945.1	1	0	0	5399183	4330	50.87	ST-Unknown	B1	O91:H21	Keep
GCF_001900965.1	1	0	0	4838808	4423	50.86	ST4434*	B1	O-:H7	Keep
GCF_001900985.1	1	0	0	5043711	4472	50.64	ST218	A	O112ab:H34	Keep
GCF_001901005.1	1	1	0	4857969	4392	50.82	ST345	B1	Unk:H21	Keep
GCF_001901025.1	1	2	0	5148066	4680	50.66	ST1081	B1	O132:H49	Keep
GCF_001901045.1	1	2	0	5146339	4676	50.66	ST1081	B1	O132:H49	GCF_001901045.1 has been dropped because has ANI=99.9943 to GCF_001901025.1
GCF_001901065.1	1	4	0	5310163	4773	50.46	ST278	B1	O178:H7	Keep
GCF_001901085.1	1	4	0	5045582	4676	50.49	ST5082	B1	O65:H7	Keep
GCF_001901105.1	1	3	0	5304349	4760	50.47	ST278	B1	O178:H7	GCF_001901105.1 has been dropped because has ANI=99.9938 to GCF_001901065.1
GCF_001901125.1	1	5	0	4954801	4591	50.81	ST6994	B1	O168:H16	Keep
GCF_001901145.1	1	6	0	5306134	4844	50.48	ST278	B1	O178:H7	Keep
GCF_001901165.1	1	5	0	5328503	4850	50.50	ST278	B1	O178:H7	Keep
GCF_001901185.1	1	1	0	5160136	4726	50.52	ST1081	B1	O180:H14	Keep
GCF_001901215.1	1	4	0	5327147	4786	50.50	ST278	B1	O178:H7	GCF_001901215.1 has been dropped because has ANI=99.9913 to GCF_001901165.1
GCF_001901315.1	1	1	0	4707208	4263	50.84	ST216	A	O127:H4	Keep
GCF_001901365.1	1	3	0	5072853	4539	50.67	ST48	A	O8:H11	Keep
GCF_001901405.1	1	1	0	4981720	4523	50.71	ST517	B1	O153:H19	Keep
GCF_001901425.1	1	1	0	5372411	4934	50.67	ST20	B1	O15:H2	Keep
GCF_001901445.1	1	3	0	4992522	4530	50.84	ST3501	B1	O103:H16	Keep
GCF_001901465.1	1	0	0	4886210	4496	50.77	ST3574	A	O105:H20	Keep
