AccessionID	SequenceType	Phylogroup	Count_Virulence	Count_Antibiotics	VirulenceCategory
GCF_000829985.1	ST10	A	8	2	2
GCF_000833635.2	ST10	A	4	1	1
GCF_000931565.1	ST131	B2-ST131	18	15	3
GCF_000953515.1	ST1060	A	4	0	1
GCF_000968515.1	ST10	A	21	2	3
GCF_000974465.1	ST-Unknown	A	3	2	1
GCF_000974505.1	ST-Unknown	A	3	3	1
GCF_000974575.1	ST-Unknown	A	5	3	1
GCF_000974885.1	ST-Unknown	A	5	1	1
GCF_000988385.1	ST10	A	4	0	1
GCF_001020945.2	ST10	A	4	0	1
GCF_001021595.1	ST416	B2-nonST131	20	0	3
GCF_001021615.1	ST95	B2-nonST131	20	0	3
GCF_001021635.2	ST117	G	24	2	4
GCF_001029125.1	ST46	A	6	9	2
GCF_001043215.1	ST10	A	5	0	1
GCF_001051135.1	ST23	C	8	2	2
GCF_001276585.2	ST10	A	3	0	1
GCF_001280325.1	ST95	B2-nonST131	26	3	4
GCF_001280345.1	ST95	B2-nonST131	23	11	4
GCF_001280385.1	ST95	B2-nonST131	19	0	3
GCF_001280405.1	ST95	B2-nonST131	26	4	4
GCF_001307215.1	ST11	E	27	0	4
GCF_001420935.1	ST119	A	27	0	4
GCF_001420955.1	ST117	G	25	4	4
GCF_001442495.1	ST410	C	6	2	2
GCF_001469815.1	ST131	B2-ST131	22	15	4
GCF_001485455.1	ST648	F	15	10	3
GCF_001513615.1	ST131	B2-ST131	18	3	3
GCF_001513635.1	ST131	B2-ST131	19	12	3
GCF_001515725.1	ST23	C	10	4	2
GCF_001559635.1	ST93	A	3	5	1
GCF_001559655.1	ST10	A	5	0	1
GCF_001559675.1	ST10	A	5	4	1
GCF_001566335.1	ST10	A	4	0	1
GCF_001566615.1	ST131	B2-ST131	25	0	4
GCF_001566635.1	ST131	B2-ST131	24	3	4
GCF_001566675.1	ST131	B2-ST131	19	9	3
GCF_001577325.1	ST131	B2-ST131	22	2	4
GCF_001593565.1	ST131	B2-ST131	18	16	3
GCF_001610755.1	ST167	A	7	16	2
GCF_001612475.1	ST11	E	24	0	4
GCF_001612495.1	ST11	E	27	0	4
GCF_001617565.1	ST131	B2-ST131	19	20	3
GCF_001618345.2	ST131	B2-ST131	20	5	3
GCF_001618365.1	ST131	B2-ST131	21	11	3
GCF_001644745.1	ST335	E	22	1	4
GCF_001650295.1	ST-Unknown	E	22	4	4
GCF_001651965.2	ST11	E	27	2	4
GCF_001660585.1	ST998	B2-nonST131	22	0	4
GCF_001663075.1	ST10	A	4	0	1
GCF_001663475.1	ST131	B2-ST131	21	9	3
GCF_001675145.1	ST127	B2-nonST131	25	10	4
GCF_001677475.2	ST1176	D	13	0	2
GCF_001677515.1	ST329	A	17	0	3
GCF_001678925.1	ST93	A	6	2	2
GCF_001682305.2	ST744	A	2	8	1
GCF_001683435.1	ST127	B2-nonST131	25	11	4
GCF_001693315.1	ST73	B2-nonST131	35	4	4
GCF_001695515.1	ST11	E	27	2	4
GCF_001721225.1	ST5309*	A	29	1	4
GCF_001721525.1	ST648	F	13	19	2
GCF_001735705.1	ST215*	A	4	1	1
GCF_001750845.1	ST4	A	11	0	2
GCF_001753485.1	ST11	E	27	0	4
GCF_001753505.1	ST11	E	25	0	4
GCF_001860505.1	ST167	A	7	19	2
GCF_001865295.1	ST11	E	27	0	4
GCF_001874485.1	ST131	B2-ST131	21	15	3
GCF_001886535.1	ST617	A	6	11	2
GCF_001888075.1	ST4	A	11	0	2
GCF_001890205.1	ST11	E	25	0	4
GCF_001890225.1	ST11	E	25	0	4
GCF_001890245.1	ST11	E	27	0	4
GCF_001890265.1	ST11	E	27	0	4
GCF_001890305.1	ST11	E	25	0	4
GCF_001890325.1	ST11	E	25	4	4
GCF_001890345.1	ST11	E	26	0	4
GCF_001890365.1	ST38	D	9	8	2
GCF_001900295.1	ST38	D	11	5	2
GCF_001900315.1	ST7063	D	8	0	2
GCF_001900395.1	ST12	B2-nonST131	27	2	4
GCF_001900415.1	ST197	A	2	0	1
GCF_001900455.1	ST10	A	3	0	1
GCF_001900555.1	ST1426	C	15	0	3
GCF_001900575.1	ST7064	A	4	2	1
GCF_001900615.1	ST373	A	5	12	1
GCF_001900635.1	ST90	C	13	11	2
GCF_001900655.1	ST-Unknown	A	2	6	1
GCF_001900735.1	ST117	G	22	4	4
GCF_001900775.1	ST193	A	2	1	1
GCF_001900795.1	ST46	A	3	11	1
GCF_001900835.1	ST617	A	10	13	2
GCF_001900905.1	ST3519	A	6	0	2
GCF_001900985.1	ST218	A	3	0	1
GCF_001901315.1	ST216	A	2	0	1
GCF_001901365.1	ST48	A	15	11	3
GCF_001901465.1	ST3574	A	5	0	1
GCF_001932515.1	ST10	A	5	0	1
GCF_001936315.1	ST189	A	17	15	3
GCF_001971765.1	ST1011	D	8	14	2
GCF_002007705.1	ST7610*	A	16	0	3
GCF_002009315.1	ST117	G	9	12	2
GCF_002011965.1	ST131	B2-ST131	13	12	2
GCF_002011985.1	ST393	D	18	19	3
GCF_002012005.1	ST410	C	8	19	2
GCF_002012025.1	ST131	B2-ST131	17	12	3
GCF_002012045.1	ST38	D	10	14	2
GCF_002012065.1	ST131	B2-ST131	22	15	4
GCF_002012085.1	ST131	B2-ST131	23	20	4
GCF_002012105.1	ST540	A	14	18	3
GCF_002012125.1	ST44	A	6	18	2
GCF_002012145.1	ST131	B2-ST131	22	16	4
GCF_002012165.1	ST131	B2-ST131	18	15	3
GCF_002012205.1	ST131	B2-ST131	17	18	3
GCF_002012225.1	ST648	F	13	20	2
GCF_002012245.1	ST131	B2-ST131	17	18	3
GCF_002012265.1	ST131	B2-ST131	14	18	3
GCF_002012305.1	ST131	B2-ST131	26	17	4
GCF_002056065.1	ST1408	A	2	16	1
GCF_002056145.1	ST1809	C	6	16	2
GCF_002056635.1	ST131	B2-ST131	19	16	3
GCF_002058765.1	ST1266	E	9	9	2
GCF_002077195.1	ST1434	A	8	6	2
GCF_002090355.1	ST-Unknown	A	5	1	1
GCF_002105735.1	ST1434	Unknown	2	10	1
GCF_002118095.1	ST10	A	4	0	1
GCF_002142675.1	ST405	D	13	20	2
GCF_002142695.1	ST617	A	8	18	2
GCF_002142715.1	ST131	B2-ST131	18	19	3
GCF_002157245.1	ST131	B2-ST131	19	10	3
GCF_002164645.3	ST405	D	11	20	2
GCF_002164865.2	ST410	C	4	17	1
GCF_002164975.2	ST410	C	3	20	1
GCF_002165115.2	ST410	C	10	16	2
GCF_002180055.1	ST167	A	7	12	2
GCF_002180135.1	ST167	A	6	15	2
GCF_002180195.1	ST131	B2-ST131	15	12	3
GCF_002192275.1	ST617	A	9	17	2
GCF_002192295.1	ST167	A	8	16	2
GCF_002193095.1	ST131	B2-ST131	19	10	3
GCF_002196495.1	ST219	E	5	15	1
GCF_002201835.1	ST1284	A	9	20	2
GCF_002202175.1	ST131	B2-ST131	19	20	3
GCF_002208865.2	ST11	E	27	0	4
GCF_002211725.1	ST635	A	3	6	1
GCF_002214205.1	ST1485	F	22	8	4
GCF_002215095.1	ST141	B2-nonST131	24	1	4
GCF_002220265.1	ST11	E	27	2	4
GCF_002237305.1	ST1858	B2-nonST131	14	0	3
GCF_002246595.2	ST34	A	4	12	1
GCF_002249955.1	ST11	E	25	0	4
GCF_002269325.1	ST4	A	12	0	2
GCF_002278115.2	ST69	D	16	10	3
GCF_002285755.1	ST95	B2-nonST131	22	2	4
GCF_002310575.1	ST127	B2-nonST131	25	0	4
GCF_002310595.1	ST38	D	22	8	4
GCF_002310615.1	ST349	D	7	1	2
GCF_002310635.1	ST929	B2-nonST131	33	0	4
GCF_002310655.1	ST963	D	15	7	3
GCF_002310675.1	ST46	A	6	11	2
GCF_002310695.1	ST648	F	17	7	3
GCF_002310715.1	ST744	A	13	13	2
GCF_002310735.1	ST10	A	5	11	1
GCF_002357875.1	ST457	F	23	14	4
GCF_002357895.1	ST457	F	20	14	3
GCF_002357915.1	ST117	G	21	2	3
GCF_002494365.2	ST1434	A	2	1	1
GCF_002587005.1	ST648	F	9	12	2
GCF_002589795.1	ST410	C	7	20	2
GCF_002591135.1	ST405	D	16	16	3
GCF_002741175.1	ST1312	A	8	1	2
GCF_002741195.1	ST4	A	12	2	2
GCF_002741295.1	ST1312	A	8	2	2
GCF_002741315.1	ST1312	A	10	0	2
GCF_002741335.1	ST4	A	11	0	2
GCF_002741435.1	ST182	E	11	7	2
GCF_002741495.1	ST182	E	10	1	2
GCF_002741535.1	ST182	E	10	2	2
GCF_002741555.1	ST182	E	10	1	2
GCF_002741575.1	ST4	A	10	0	2
GCF_002763515.2	ST127	B2-nonST131	27	4	4
GCF_002763995.1	ST131	B2-ST131	18	5	3
GCF_002787215.1	ST405	D	14	17	3
GCF_002787315.1	ST167	A	11	13	2
GCF_002787545.1	ST167	A	5	18	1
GCF_002787645.1	ST457	F	17	15	3
GCF_002788115.1	ST405	D	10	16	2
GCF_002788295.1	ST167	A	11	14	2
GCF_002796585.1	ST144	B2-nonST131	18	0	3
GCF_002803805.1	ST764	A	11	1	2
GCF_002803905.1	ST410	C	3	20	1
GCF_002811555.3	ST410	C	3	21	1
GCF_002812545.1	ST48	A	5	2	1
GCF_002843685.1	ST10	A	4	1	1
GCF_002844685.1	ST95	B2-nonST131	30	3	4
GCF_002846135.1	ST95	B2-nonST131	27	14	4
GCF_002853655.1	ST301	A	23	10	4
GCF_002853715.1	ST117	G	20	10	3
GCF_002853805.1	ST88	C	8	15	2
GCF_002854065.1	ST2064	E	8	13	2
GCF_002855325.1	ST793	A	21	8	3
GCF_002855415.1	ST301	A	17	6	3
GCF_002859105.1	ST127	B2-nonST131	27	4	4
GCF_002860105.1	ST167	A	8	21	2
GCF_002863665.1	ST659	A	27	0	4
GCF_002863685.1	ST659	A	27	0	4
GCF_002863845.1	ST3693	B2-nonST131	16	0	3
GCF_002863885.1	ST659	A	26	2	4
GCF_002879975.1	ST10	A	15	0	3
GCF_002887715.1	ST127	B2-nonST131	23	1	4
GCF_002893905.2	ST90	C	8	1	2
GCF_002900305.1	ST127	B2-nonST131	25	0	4
GCF_002903105.1	ST399	A	6	18	2
GCF_002903125.1	ST167	A	6	19	2
GCF_002934025.1	ST10	A	4	0	1
GCF_002934895.1	ST399	A	6	13	2
GCF_002944935.1	ST538	B2-nonST131	17	6	3
GCF_002945135.3	ST167	A	6	20	2
GCF_002946715.1	ST38	D	28	18	4
GCF_002948655.1	ST1276	F	14	0	3
GCF_002951655.1	ST117	G	16	15	3
GCF_002951675.1	ST127	B2-nonST131	25	4	4
GCF_002951695.1	ST3902	A	10	8	2
GCF_002951735.1	ST46	A	14	14	3
GCF_002951775.1	ST4542	A	3	16	1
GCF_002951855.1	ST28	B2-nonST131	22	0	4
GCF_002952095.1	ST2847	E	14	16	3
GCF_002953435.1	ST95	B2-nonST131	26	17	4
GCF_002953455.1	ST410	C	5	20	1
GCF_002966755.1	ST1485*	F	8	6	2
GCF_002968715.1	ST8150	A	7	13	2
GCF_002968735.1	ST405	D	15	16	3
GCF_002993265.1	ST93	A	6	0	2
GCF_002996945.1	ST131	B2-ST131	19	8	3
GCF_003013205.1	ST48	A	6	0	2
GCF_003017805.1	ST119	A	28	0	4
GCF_003018075.1	ST660	A	27	0	4
GCF_003018095.1	ST657	G	19	0	3
GCF_003018115.1	ST3018	E	17	0	3
GCF_003018235.1	ST5350	D	12	0	2
GCF_003018255.1	ST658	G	21	0	3
GCF_003018335.1	ST7083	cladeI	16	0	3
GCF_003018375.1	ST342	A	24	1	4
GCF_003018395.1	ST659	A	26	0	4
GCF_003018475.1	ST722	B2-nonST131	16	0	3
GCF_003018635.1	ST342	A	25	1	4
GCF_003018815.1	ST301	A	29	8	4
GCF_003018995.1	ST32	D	24	0	4
GCF_003019015.1	ST119	A	25	0	4
GCF_003019035.1	ST967	F	14	0	3
GCF_003019075.1	ST660	A	25	0	4
GCF_003019095.1	ST646	B2-nonST131	28	0	4
GCF_003020885.1	ST95	B2-nonST131	26	2	4
GCF_003030025.1	ST7786	A	3	5	1
GCF_003030245.1	ST5030	D	13	0	2
GCF_003030365.1	ST617	A	12	19	2
GCF_003031225.1	ST2223	A	3	2	1
GCF_003031775.1	ST167	A	8	18	2
GCF_003031795.1	ST405	D	10	20	2
GCF_003031815.1	ST90	C	5	18	1
GCF_003033905.1	ST10	A	9	9	2
GCF_003043915.1	ST35	B2-nonST131	14	0	3
GCF_003051985.2	ST617	A	4	20	1
GCF_003052665.1	ST10	A	4	0	1
GCF_003073815.1	ST410	C	7	14	2
GCF_003073835.1	ST167	A	6	19	2
GCF_003073955.1	ST410	C	3	7	1
GCF_003076395.1	ST95	B2-nonST131	27	15	4
GCF_003095635.1	ST117	G	13	2	2
GCF_003111785.1	ST8739	A	4	14	1
GCF_003172465.2	ST10	A	4	0	1
GCF_003180975.1	ST10	A	5	15	1
GCF_003180995.1	ST405	D	17	14	3
GCF_003181035.1	ST131	B2-ST131	18	12	3
GCF_003194345.1	ST131	B2-ST131	20	16	3
GCF_003204155.1	ST4	A	15	12	3
GCF_003231115.1	ST3288	A	2	9	1
GCF_003254065.1	ST167	A	12	19	2
GCF_003287245.1	ST93	A	6	0	2
GCF_003288455.1	ST131	B2-ST131	14	15	3
GCF_003290205.1	ST4	A	11	1	2
GCF_003308955.1	ST11	E	25	1	4
GCF_003308975.1	ST69	D	25	5	4
GCF_003344465.1	ST1193	B2-nonST131	19	5	3
GCF_003346835.1	ST80	B2-nonST131	26	17	4
GCF_003351385.1	ST410	C	8	19	2
GCF_003352425.1	ST10	A	14	2	3
GCF_003402955.1	ST88	C	13	15	2
GCF_003410275.1	ST6140	D	6	16	2
GCF_003413625.1	ST410	C	9	15	2
GCF_003432305.1	ST10	A	6	6	2
GCF_003443795.1	ST48	A	2	10	1
GCF_003443815.1	ST48*	A	5	13	1
GCF_003546975.1	ST73	B2-nonST131	30	0	4
GCF_003571665.1	ST131	B2-ST131	18	12	3
GCF_003571685.1	ST62	F	25	13	4
GCF_003571765.1	ST48	A	5	13	1
GCF_003571785.1	ST405	D	17	7	3
GCF_003571825.1	ST131	B2-ST131	23	8	4
GCF_003591595.1	ST3021	A	2	0	1
GCF_003627855.1	ST69	D	20	6	3
GCF_003667385.1	ST1684	A	3	6	1
GCF_003667425.1	ST744	A	4	14	1
GCF_003691425.1	ST206	A	2	11	1
GCF_003697165.2	ST95	B2-nonST131	26	0	4
GCF_003703795.1	ST7139	A	2	13	1
GCF_003711005.1	ST48	A	3	7	1
GCF_003711045.1	ST410	C	3	20	1
GCF_003717595.1	ST10	A	4	0	1
GCF_003722195.1	ST717	E	20	0	3
GCF_003790525.1	ST6862	F	20	15	3
GCF_003812625.1	ST636	B2-nonST131	20	10	3
GCF_003812945.1	ST648	F	13	13	2
GCF_003813145.1	ST405	D	13	11	2
GCF_003856575.1	ST167	A	10	15	2
GCF_003856615.1	ST131	B2-ST131	22	16	4
GCF_003856635.1	ST131	B2-ST131	26	10	4
GCF_003856655.1	ST131	B2-ST131	19	10	3
GCF_003856675.1	ST405	D	11	9	2
GCF_003856695.1	ST131	B2-ST131	18	15	3
GCF_003856995.1	ST131	B2-ST131	26	11	4
GCF_003925895.1	ST167	A	6	18	2
GCF_003956225.1	ST1312	A	7	2	2
GCF_003956245.1	ST398	A	4	0	1
GCF_003956265.1	ST1201	A	10	3	2
GCF_003956305.1	ST10	A	7	0	2
GCF_003956345.1	ST1564	A	6	3	2
GCF_003956405.1	ST2332	A	9	2	2
GCF_003966775.1	ST131	B2-ST131	26	0	4
GCF_003966795.1	ST11	E	25	0	4
GCF_003971215.1	ST48	A	3	18	1
GCF_003991155.1	ST457	F	20	20	3
GCF_004006575.1	ST2705	A	3	15	1
GCF_004010575.1	ST11	E	27	0	4
GCF_004010595.1	ST11	E	25	0	4
GCF_004010615.1	ST11	E	25	0	4
GCF_004010635.1	ST11	E	25	0	4
GCF_004010655.1	ST11	E	25	0	4
GCF_004010675.1	ST11	E	26	0	4
GCF_004010695.1	ST11	E	25	0	4
GCF_004010715.1	ST11	E	25	0	4
GCF_004011015.1	ST38	D	26	12	4
GCF_004088295.1	ST410	C	10	20	2
GCF_004114395.1	ST648	F	12	17	2
GCF_004118915.1	ST11	E	23	0	4
GCF_004135915.1	ST131	B2-ST131	19	7	3
GCF_004141955.1	ST131	B2-ST131	20	9	3
GCF_004193755.1	ST131	B2-ST131	19	8	3
GCF_004295365.1	ST167	A	6	20	2
GCF_004299805.1	ST131	B2-ST131	21	7	3
GCF_004328685.1	ST1114	A	3	10	1
GCF_004355105.1	ST10	A	4	0	1
GCF_004358985.1	ST10	A	4	1	1
GCF_004368015.1	ST10	A	6	13	2
GCF_004377995.2	ST457	F	17	3	3
GCF_004526255.1	ST46	A	12	8	2
GCF_004564035.1	ST141	B2-nonST131	29	0	4
GCF_004759025.1	ST38	D	18	8	3
GCF_004771135.1	ST73	B2-nonST131	25	5	4
GCF_004771235.1	ST10	A	21	7	3
GCF_004792495.1	ST10	A	5	5	1
GCF_004801575.1	ST48	A	2	4	1
GCF_004804185.1	ST583	B2-nonST131	18	0	3
GCF_004804205.1	ST122	B2-nonST131	14	0	3
GCF_004924255.1	ST542	A	6	16	2
GCF_005037735.1	ST11	E	28	0	4
GCF_005037815.1	ST32	D	28	2	4
GCF_005156265.1	ST167	A	6	22	2
GCF_005221505.1	ST11	E	27	0	4
GCF_005221525.1	ST11	E	25	0	4
GCF_005221645.1	ST11	E	25	0	4
GCF_005221885.1	ST11	E	27	0	4
GCF_005221905.1	ST11	E	29	0	4
GCF_005222005.1	ST11	E	25	0	4
GCF_005222285.1	ST11	E	25	0	4
GCF_005222325.1	ST11	E	27	0	4
GCF_005222345.1	ST11	E	27	0	4
GCF_005222445.1	ST11	E	28	0	4
GCF_005671355.1	ST410	C	3	20	1
GCF_005886035.1	ST38	D	17	15	3
GCF_005890115.1	ST10	A	5	0	1
GCF_005954605.1	ST11066	A	4	0	1
GCF_005954625.1	ST11066	A	4	0	1
GCF_005954725.1	ST10	A	4	1	1
GCF_006088875.1	ST131	B2-ST131	12	12	2
GCF_006337025.1	ST410	C	13	17	2
GCF_006351885.1	ST8655	F	15	10	3
GCF_006352265.1	ST410	C	5	17	1
GCF_006536085.2	ST410	C	5	8	1
GCF_006537505.2	ST410	C	4	11	1
GCF_006777045.1	ST648	F	23	0	4
GCF_006777085.1	ST5796*	G	24	1	4
GCF_006874785.1	ST11	E	25	0	4
GCF_006965465.1	ST38	D	24	7	4
GCF_007012305.1	ST167	A	8	20	2
GCF_007833295.1	ST95	B2-nonST131	23	0	4
GCF_007833875.1	ST10522	B2-nonST131	37	2	4
GCF_008033295.1	ST10	A	4	14	1
GCF_008042015.2	ST410	C	3	12	1
GCF_008065435.1	ST339*	A	11	0	2
GCF_008065455.1	ST10	A	14	3	3
GCF_008080655.1	ST48	A	2	12	1
GCF_008124005.1	ST10082	A	16	10	3
GCF_008124085.1	ST141	B2-nonST131	21	6	3
GCF_008124185.1	ST10	A	4	11	1
GCF_008124285.1	ST10	A	4	7	1
GCF_008152105.1	ST457	F	18	15	3
GCF_008375335.1	ST48	A	4	2	1
GCF_008462425.1	ST11	E	20	0	3
GCF_008632575.1	ST167	A	12	19	2
GCF_008632595.1	ST95	B2-nonST131	27	10	4
GCF_008642395.1	ST38	D	14	13	3
GCF_008642415.1	ST191	A	4	4	1
GCF_008727135.1	ST11	E	28	6	4
GCF_008727155.1	ST11	E	27	9	4
GCF_008727175.1	ST11	E	27	0	4
GCF_008727195.1	ST11	E	24	7	4
GCF_008807135.1	ST10	A	3	7	1
GCF_008807155.1	ST761	A	4	12	1
GCF_008807295.1	ST761	A	3	6	1
GCF_008823185.1	ST1695	A	2	10	1
GCF_008925965.1	ST11	E	25	0	4
GCF_008926085.1	ST11	E	25	0	4
GCF_008926105.1	ST11	E	23	0	4
GCF_008926125.1	ST11	E	25	0	4
GCF_008926145.1	ST11	E	29	0	4
GCF_008926165.1	ST11	E	25	0	4
GCF_008926185.1	ST11	E	25	0	4
GCF_008931135.1	ST11	E	25	0	4
GCF_008931185.1	ST11	E	25	0	4
GCF_008931725.1	ST10	A	3	0	1
GCF_008931745.1	ST10	A	3	0	1
GCF_008949495.1	ST354	F	20	15	3
GCF_009363035.1	ST10	A	7	10	2
GCF_009395265.1	ST10	A	3	2	1
GCF_009431955.1	ST11	E	25	0	4
GCF_009432215.1	ST11	E	23	0	4
GCF_009432415.1	ST11	E	23	0	4
GCF_009432635.1	ST11	E	23	0	4
GCF_009432795.1	ST11	E	18	0	3
GCF_009432915.1	ST11	E	22	0	4
GCF_009433135.1	ST11	E	23	0	4
GCF_009577985.1	ST131	B2-ST131	18	14	3
GCF_009648495.1	ST1060	A	4	10	1
GCF_009650175.1	ST11	E	25	1	4
GCF_009664305.1	ST11	E	25	0	4
GCF_009664455.1	ST11	E	26	0	4
GCF_009671085.1	ST761	A	3	10	1
GCF_009671105.1	ST8165	A	2	6	1
GCF_009671125.1	ST7131	A	3	5	1
GCF_009720465.1	ST167	A	7	18	2
GCF_009738145.1	ST206	A	2	9	1
GCF_009738455.1	ST11	E	25	0	4
GCF_009761715.1	ST410	C	9	18	2
GCF_009762385.1	ST48	A	3	7	1
GCF_009832885.1	ST1060	A	4	10	1
GCF_009832985.1	ST93	A	5	1	1
GCF_009866925.2	ST10	A	11	3	2
GCF_009866945.2	ST167	A	18	12	3
GCF_009873375.1	ST10	A	9	1	2
GCF_009905115.1	ST4977	A	3	12	1
GCF_009905355.1	ST10	A	4	4	1
GCF_009909465.1	ST2325	A	5	12	1
GCF_009909505.1	ST7511	A	3	14	1
GCF_009914295.1	ST2705	A	5	9	1
GCF_009931235.1	ST11	E	28	0	4
GCF_009931435.1	ST3042	cladeI	15	4	3
GCF_009949705.1	ST993	A	9	0	2
GCF_009950125.1	ST3630	A	10	3	2
GCF_010092965.1	ST648	F	12	2	2
GCF_010365325.1	ST73	B2-nonST131	31	15	4
GCF_010365345.1	ST1284	A	11	16	2
GCF_010365385.1	ST648	F	23	20	4
GCF_010365425.1	ST656	A	8	13	2
GCF_010365465.1	ST410	C	3	20	1
GCF_010365505.1	ST167	A	6	18	2
GCF_010365525.1	ST167	A	6	19	2
GCF_010365545.1	ST410	C	3	18	1
GCF_010668985.1	ST8527	B2-nonST131	20	0	3
GCF_010669025.1	ST8525	E	6	0	2
GCF_010706435.1	ST12	B2-nonST131	29	6	4
GCF_010724935.1	ST10605	B2-nonST131	9	15	2
GCF_010725305.1	ST131	B2-ST131	18	17	3
GCF_011022275.1	ST315	D	10	13	2
GCF_011044355.1	ST429	B2-nonST131	27	8	4
GCF_011045215.1	ST8826	E	8	0	2
GCF_011045235.1	ST8532	D	5	0	1
GCF_011045255.1	ST405	D	14	8	3
GCF_011045275.1	ST405	D	13	8	2
GCF_011045295.1	ST405	D	13	8	2
GCF_011045475.1	ST167	A	6	20	2
GCF_011045875.1	ST10170	A	2	10	1
GCF_011330935.2	ST131	B2-ST131	22	16	4
GCF_011331065.1	ST10	A	10	12	2
GCF_011331215.2	ST131	B2-ST131	20	12	3
GCF_011404215.1	ST206	A	3	3	1
GCF_011404355.1	ST206	A	2	3	1
GCF_011404475.1	ST189	A	2	1	1
GCF_011404595.1	ST165	A	4	4	1
GCF_011404755.1	ST206*	A	2	3	1
GCF_011404895.1	ST10	A	3	1	1
GCF_011492885.1	ST7366	A	12	16	2
GCF_011492985.1	ST48	A	11	17	2
GCF_011769865.1	ST167	A	6	16	2
GCF_012149945.1	ST1193	B2-nonST131	19	10	3
GCF_012537835.1	ST93	A	20	15	3
GCF_012934435.1	ST973	D	9	0	2
GCF_012934455.1	ST394	D	11	4	2
GCF_012934475.1	ST95	B2-nonST131	21	1	3
GCF_012934495.1	ST963	D	11	8	2
GCF_012934515.1	ST491	B2-nonST131	18	0	3
GCF_012934535.1	ST73	B2-nonST131	30	4	4
GCF_012934555.1	ST95	B2-nonST131	22	0	4
GCF_012934575.1	ST10	A	6	6	2
GCF_012934615.1	ST95	B2-nonST131	21	2	3
GCF_012934635.1	ST357	B2-nonST131	19	1	3
GCF_012934655.2	ST144	B2-nonST131	24	2	4
GCF_012934695.1	ST967	F	10	0	2
GCF_012934715.1	ST69	D	16	9	3
GCF_012934765.1	ST14	B2-nonST131	26	2	4
GCF_012934785.1	ST998	B2-nonST131	0	2	1
GCF_013004045.1	ST127	B2-nonST131	28	12	4
GCF_013084945.1	ST95	B2-nonST131	20	3	3
GCF_013085025.1	ST69	D	20	6	3
GCF_013085205.1	ST420	B2-nonST131	0	0	1
GCF_013085905.2	ST1193	B2-nonST131	20	3	3
GCF_013112335.1	ST10654	E	6	0	2
GCF_013166895.1	ST93	A	3	2	1
GCF_013166955.1	ST93	A	5	0	1
GCF_013166975.1	ST93	A	5	0	1
GCF_013166995.1	ST10	A	3	1	1
GCF_013167035.1	ST1060	A	4	0	1
GCF_013167055.1	ST10	A	5	0	1
GCF_013167075.1	ST1060	A	5	2	1
GCF_013167135.1	ST11	E	27	0	4
GCF_013167155.1	ST11	E	25	0	4
GCF_013167175.1	ST11	E	25	0	4
